datetime,agency_cd,site_no,datetime,173901_00060_00001,173901_00060_00001_cd,173902_00060_00002,173902_00060_00002_cd,173903_00060_00003,173903_00060_00003_cd
2015-05-28,USGS,8183978,2015-05-28,358.0,A,289.0,A,316.0,A
2015-05-29,USGS,8183978,2015-05-29,,,,,500.0,A:e
2015-05-30,USGS,8183978,2015-05-30,380.0,A,275.0,A,291.0,A
2015-05-31,USGS,8183978,2015-05-31,380.0,A,213.0,A,248.0,A
2015-06-01,USGS,8183978,2015-06-01,213.0,A,188.0,A,201.0,A
2015-06-02,USGS,8183978,2015-06-02,188.0,A,132.0,A,155.0,A
2015-06-03,USGS,8183978,2015-06-03,132.0,A,95.1,A,112.0,A
2015-06-04,USGS,8183978,2015-06-04,96.2,A,74.5,A,84.8,A
2015-06-05,USGS,8183978,2015-06-05,76.7,A,58.0,A,66.3,A
2015-06-06,USGS,8183978,2015-06-06,58.0,A,45.4,A,52.1,A
2015-06-07,USGS,8183978,2015-06-07,45.4,A,33.7,A,39.9,A
2015-06-08,USGS,8183978,2015-06-08,35.4,A,21.8,A,29.6,A
2015-06-09,USGS,8183978,2015-06-09,21.8,A,2.96,A,9.09,A
2015-06-10,USGS,8183978,2015-06-10,2.96,A,1.09,A,1.96,A
2015-06-11,USGS,8183978,2015-06-11,1.09,A,0.0,A,0.3,A
2015-06-12,USGS,8183978,2015-06-12,0.0,A,0.0,A,0.0,A
2015-06-13,USGS,8183978,2015-06-13,0.0,A,0.0,A,0.0,A
2015-06-14,USGS,8183978,2015-06-14,0.0,A,0.0,A,0.0,A
2015-06-15,USGS,8183978,2015-06-15,,,,,0.0,A
2015-06-16,USGS,8183978,2015-06-16,0.0,A,0.0,A,0.0,A
2015-06-17,USGS,8183978,2015-06-17,0.0,A,0.0,A,0.0,A
2015-06-18,USGS,8183978,2015-06-18,0.0,A,0.0,A,0.0,A
2015-06-19,USGS,8183978,2015-06-19,0.0,A,0.0,A,0.0,A
2015-06-20,USGS,8183978,2015-06-20,0.0,A,0.0,A,0.0,A
2015-06-21,USGS,8183978,2015-06-21,1.3,A,0.0,A,0.11,A
2015-06-22,USGS,8183978,2015-06-22,125.0,A,0.0,A,35.1,A
2015-06-23,USGS,8183978,2015-06-23,82.7,A,26.6,A,46.6,A
2015-06-24,USGS,8183978,2015-06-24,26.6,A,1.73,A,8.97,A
2015-06-25,USGS,8183978,2015-06-25,1.73,A,0.63,A,1.08,A
2015-06-26,USGS,8183978,2015-06-26,0.63,A,0.0,A,0.2,A
2015-06-27,USGS,8183978,2015-06-27,0.0,A,0.0,A,0.0,A
2015-06-28,USGS,8183978,2015-06-28,0.0,A,0.0,A,0.0,A
2015-06-29,USGS,8183978,2015-06-29,0.0,A,0.0,A,0.0,A
2015-06-30,USGS,8183978,2015-06-30,0.0,A,0.0,A,0.0,A
2015-07-01,USGS,8183978,2015-07-01,0.0,A,0.0,A,0.0,A
2015-07-02,USGS,8183978,2015-07-02,0.0,A,0.0,A,0.0,A
2015-07-03,USGS,8183978,2015-07-03,0.0,A,0.0,A,0.0,A
2015-07-04,USGS,8183978,2015-07-04,0.0,A,0.0,A,0.0,A
2015-07-05,USGS,8183978,2015-07-05,0.0,A,0.0,A,0.0,A
2015-07-06,USGS,8183978,2015-07-06,0.0,A,0.0,A,0.0,A
2015-07-07,USGS,8183978,2015-07-07,0.0,A,0.0,A,0.0,A
2015-07-08,USGS,8183978,2015-07-08,0.0,A,0.0,A,0.0,A
2015-07-09,USGS,8183978,2015-07-09,0.0,A,0.0,A,0.0,A
2015-07-10,USGS,8183978,2015-07-10,0.0,A,0.0,A,0.0,A
2015-07-11,USGS,8183978,2015-07-11,0.0,A,0.0,A,0.0,A
2015-07-12,USGS,8183978,2015-07-12,0.0,A,0.0,A,0.0,A
2015-07-13,USGS,8183978,2015-07-13,0.0,A,0.0,A,0.0,A
2015-07-14,USGS,8183978,2015-07-14,0.0,A,0.0,A,0.0,A
2015-07-15,USGS,8183978,2015-07-15,0.0,A,0.0,A,0.0,A
2015-07-16,USGS,8183978,2015-07-16,0.0,A,0.0,A,0.0,A
2015-07-17,USGS,8183978,2015-07-17,0.0,A,0.0,A,0.0,A
2015-07-18,USGS,8183978,2015-07-18,0.0,A,0.0,A,0.0,A
2015-07-19,USGS,8183978,2015-07-19,0.0,A,0.0,A,0.0,A
2015-07-20,USGS,8183978,2015-07-20,0.0,A,0.0,A,0.0,A
2015-07-21,USGS,8183978,2015-07-21,0.0,A,0.0,A,0.0,A
2015-07-22,USGS,8183978,2015-07-22,0.0,A,0.0,A,0.0,A
2015-07-23,USGS,8183978,2015-07-23,0.0,A,0.0,A,0.0,A
2015-07-24,USGS,8183978,2015-07-24,0.0,A,0.0,A,0.0,A
2015-07-25,USGS,8183978,2015-07-25,0.0,A,0.0,A,0.0,A
2015-07-26,USGS,8183978,2015-07-26,0.0,A,0.0,A,0.0,A
2015-07-27,USGS,8183978,2015-07-27,0.0,A,0.0,A,0.0,A
2015-07-28,USGS,8183978,2015-07-28,0.0,A,0.0,A,0.0,A
2015-07-29,USGS,8183978,2015-07-29,0.0,A,0.0,A,0.0,A
2015-07-30,USGS,8183978,2015-07-30,0.0,A,0.0,A,0.0,A
2015-07-31,USGS,8183978,2015-07-31,0.0,A,0.0,A,0.0,A
2015-08-01,USGS,8183978,2015-08-01,0.0,A,0.0,A,0.0,A
2015-08-02,USGS,8183978,2015-08-02,0.0,A,0.0,A,0.0,A
2015-08-03,USGS,8183978,2015-08-03,0.0,A,0.0,A,0.0,A
2015-08-04,USGS,8183978,2015-08-04,0.0,A,0.0,A,0.0,A
2015-08-05,USGS,8183978,2015-08-05,0.0,A,0.0,A,0.0,A
2015-08-06,USGS,8183978,2015-08-06,0.0,A,0.0,A,0.0,A
2015-08-07,USGS,8183978,2015-08-07,0.0,A,0.0,A,0.0,A
2015-08-08,USGS,8183978,2015-08-08,0.0,A,0.0,A,0.0,A
2015-08-09,USGS,8183978,2015-08-09,0.0,A,0.0,A,0.0,A
2015-08-10,USGS,8183978,2015-08-10,0.0,A,0.0,A,0.0,A
2015-08-11,USGS,8183978,2015-08-11,0.0,A,0.0,A,0.0,A
