pdate,MaxLevel
"1970-08-02 00:00:00",656.93
"1970-08-01 00:00:00",657.16
"1970-07-31 00:00:00",657.46
"1970-07-30 00:00:00",658.2
"1970-07-29 00:00:00",659.04
"1970-07-28 00:00:00",659.76
"1970-07-27 00:00:00",660.98
"1970-07-26 00:00:00",661.17
"1970-07-25 00:00:00",660.14
"1970-07-24 00:00:00",660.24
"1970-07-23 00:00:00",660.97
"1970-07-22 00:00:00",661.14
"1970-07-21 00:00:00",661.37
"1970-07-20 00:00:00",662.6
"1970-07-19 00:00:00",662.84
"1970-07-18 00:00:00",662.47
"1970-07-17 00:00:00",661.79
"1970-07-16 00:00:00",660.55
"1970-07-15 00:00:00",659.25
"1970-07-14 00:00:00",658.14
"1970-07-13 00:00:00",658.2
"1970-07-12 00:00:00",658.15
"1970-07-11 00:00:00",658.07
"1970-07-10 00:00:00",658.05
"1970-07-09 00:00:00",658.48
"1970-07-08 00:00:00",659.42
"1970-07-07 00:00:00",660.39
"1970-07-06 00:00:00",661.73
"1970-07-05 00:00:00",662.02
"1970-07-04 00:00:00",661.8
"1970-07-03 00:00:00",662.25
"1970-07-02 00:00:00",662.73
"1970-07-01 00:00:00",663.6
"1970-06-30 00:00:00",664.68
"1970-06-29 00:00:00",665.22
"1970-06-28 00:00:00",664.67
"1970-06-27 00:00:00",664.78
"1970-06-26 00:00:00",665.2
"1970-06-25 00:00:00",665.97
"1970-06-24 00:00:00",665.59
"1970-06-23 00:00:00",665.95
"1970-06-22 00:00:00",666.98
"1970-06-21 00:00:00",666.95
"1970-06-20 00:00:00",667.03
"1970-06-19 00:00:00",667.65
"1970-06-18 00:00:00",668.54
"1970-06-17 00:00:00",669.74
"1970-06-16 00:00:00",671.35
"1970-06-15 00:00:00",672.61
"1970-06-14 00:00:00",673.06
"1970-06-13 00:00:00",673.65
"1970-06-12 00:00:00",674.21
"1970-06-11 00:00:00",675.06
"1970-06-10 00:00:00",675.36
"1970-06-09 00:00:00",675.72
"1970-06-08 00:00:00",676.28
"1970-06-07 00:00:00",676.62
"1970-06-06 00:00:00",676.71
"1970-06-05 00:00:00",676.93
"1970-06-04 00:00:00",677.08
"1970-06-03 00:00:00",676.98
"1970-06-02 00:00:00",676.74
"1970-06-01 00:00:00",676.5
"1970-05-31 00:00:00",676.16
"1970-05-30 00:00:00",675.56
"1970-05-29 00:00:00",674.85
"1970-05-28 00:00:00",674.04
"1970-05-27 00:00:00",673.1
"1970-05-26 00:00:00",671.86
"1970-05-25 00:00:00",670.77
"1970-05-24 00:00:00",670.21
"1970-05-23 00:00:00",669.17
"1970-05-22 00:00:00",668.07
"1970-05-21 00:00:00",668.16
"1970-05-20 00:00:00",668.21
"1970-05-19 00:00:00",668.38
"1970-05-18 00:00:00",668.61
"1970-05-17 00:00:00",668.13
"1970-05-16 00:00:00",667.07
"1970-05-15 00:00:00",666.08
"1970-05-14 00:00:00",664.16
"1970-05-13 00:00:00",664.82
"1970-05-12 00:00:00",665.55
"1970-05-11 00:00:00",666.38
"1970-05-10 00:00:00",666.75
"1970-05-09 00:00:00",667.17
"1970-05-08 00:00:00",667.34
"1970-05-07 00:00:00",667.86
"1970-05-06 00:00:00",668.64
"1970-05-05 00:00:00",669.59
"1970-05-04 00:00:00",670.88
"1970-05-03 00:00:00",671.35
"1970-05-02 00:00:00",671.13
"1970-05-01 00:00:00",671.19
"1970-04-30 00:00:00",670.73
"1970-04-29 00:00:00",671.08
"1970-04-28 00:00:00",672.55
"1970-04-27 00:00:00",671.82
